CID	C
1	Aanleiden tot spelen
2	Aanpassen frequentie van elektrische energie
3	Aansluitleidingen aansluiten
4	Aansturen
5	Aansturen van een pomp door middel van een microprocessor
6	Aanvoer afstromend hemelwater vanaf een kolk
7	Aanvoer van afvalwater
8	Aanvoer van afvalwater vanaf een perceel
9	Aanvoer van grondwater
10	Aanvoer van hemelwater
11	Aanvoer van hemelwater en vuilwater
12	Aanvoer van vuilwater
13	Aanvoeren van water
14	Aanvullende bemaling
15	Aanwijzen afsluiterstand
16	Afdekken
17	Afdekken ondergrondse voorziening
18	Afdekken put
19	Afremmen van de stroomsnelheid van het afvalwater
20	Afscheiden olie/benzine
21	Afscheiden slib
22	Afscheiden van veld of terrein
23	Afscheiden vaste deeltjes (vuil en slib)
24	Afscheiden vet
25	Afschermen
26	Afsluiten in één stroomrichting
27	Afsluiten in twee stroomrichtingen
28	Afsluiten van leidingen
29	Afstroming herstellen
30	Afvoer naar kolkaansluitleiding
31	Afvoer van gassen uit de riolering
32	Afvoer van hemelwater
33	Afvoeren hemelwater naar de ondergrond
34	Afvoeren van water
35	Afvoeren van water door infiltratie
36	Be- of ontluchten
37	Bedienen afsluiter
38	Bedienen van meerdere pompunits
39	Begrazen
40	Beheren van parkeerplaatsen
41	Beluchten leiding
42	Beluchten mechanische leiding
43	Beluchten of ventileren
44	Beluchten vrijverval leiding
45	Bemalen van hoogwater
46	Beperken debiet
47	Beperken van erosie
48	Beperken van geluidshinder
49	Bergen van water
50	Beschaduwen
51	Beschermen tegen aanrijdingen
52	Beveiligen
53	Bewonen
54	Bezinken stoffen
55	Bij calamiteit afvalwater afvoeren
56	Bluswater leveren
57	Doorspoelen rioolstelsel
58	Doorvoeren leidingen en/of kabels
59	Dynamisch remmen van verkeerssnelheid
60	Faciliteren van culturele activiteiten
61	Faciliteren van klimmen
62	Faciliteren van onderwijs
63	Faciliteren van recreatie
64	Faciliteren van religieuze activiteiten
65	Gebruik door beroepsvaart
66	Gebruik door pleziervaart
67	Geen functie
68	Geleiden van de afvoer van het afvalwater
69	Geleiden van fauna
70	Graven herbergen
71	In stand houden onderdruk
72	Inlaten van oppervlaktewater
73	Inzamelen en kortstondig opslaan afvalwater
74	Inzamelen hemelwater en afgifte aan ondergrond
75	Inzameling van afvalwater
76	Inzameling van grondwater
77	Inzameling van hemelwater
78	Inzameling van hemelwater en vuilwater
79	Inzameling van vuilwater
80	Keren van grond
81	Keren van schepen via zwaaiplaats
82	Keren van water
83	Keren verkeer
84	Laden en lossen
85	Laten bezinken
86	Leiding gescheiden laten kruisen
87	Leidingen aansluiten
88	Lozen afvalwater
